price,volume,time,buy/sell,market/limit,misc
0.78191600,31.29961964,2025-02-16 00:17:06.748201609,b,l,
0.78193300,31.30210232,2025-02-16 00:17:08.785838842,b,l,
0.78195900,54.21240710,2025-02-16 00:17:11.368045568,b,l,
0.78205900,5.64314924,2025-02-16 00:17:11.376719475,b,l,
0.78212300,18.41736779,2025-02-16 00:17:14.437562466,b,l,
0.78230800,24.86187537,2025-02-16 00:17:16.859804392,b,l,
0.78255100,41.50749862,2025-02-16 00:17:32.785457850,b,l,
0.78223100,1615.17440813,2025-02-16 00:18:15.779450893,b,l,
0.78255200,1329.63600737,2025-02-16 00:18:38.411508322,b,l,
0.78258200,1330.47968831,2025-02-16 00:18:38.505203724,b,l,
0.78290000,1051.04444472,2025-02-16 00:18:51.332710505,b,l,
0.78279000,937.92410831,2025-02-16 00:19:28.953014612,b,l,
0.78160700,831.99548307,2025-02-16 00:20:32.357363462,b,l,
0.78172300,821.33513552,2025-02-16 00:20:40.835064650,b,l,
0.78183500,738.29587347,2025-02-16 00:21:13.092315674,b,l,
0.78229300,22.44328323,2025-02-16 00:21:17.764102936,b,m,
0.78198100,708.46318818,2025-02-16 00:21:27.801629543,b,l,
0.78220300,738.44119684,2025-02-16 00:21:43.145120859,b,l,
0.78223500,688.90644499,2025-02-16 00:21:45.357434750,b,l,
0.78223500,647.20489947,2025-02-16 00:21:54.606343031,b,l,
0.78190700,601.57667122,2025-02-16 00:22:22.032340050,b,l,
0.78193900,566.75461513,2025-02-16 00:22:24.154002190,b,l,
0.78202100,535.99168555,2025-02-16 00:23:12.772031784,b,l,
0.78133600,521.47204774,2025-02-16 00:24:39.550952673,b,l,
0.78136500,502.30654386,2025-02-16 00:24:46.461601734,b,l,
0.78189600,514.48392477,2025-02-16 00:25:28.106809378,b,l,
0.78216800,25.07135149,2025-02-16 00:25:35.308632135,s,m,
0.78155800,461.47684861,2025-02-16 00:27:13.888735056,b,l,
0.78202000,100.86542619,2025-02-16 00:28:14.004412651,b,m,
0.78202900,463.30115777,2025-02-16 00:28:40.899395704,b,l,
0.78219800,465.70302962,2025-02-16 00:29:37.456683636,b,l,
0.78153500,442.51101360,2025-02-16 00:30:25.799740553,b,l,
0.78146700,424.36423856,2025-02-16 00:30:32.660810947,b,l,
0.78163200,410.02728920,2025-02-16 00:30:41.375245094,b,l,
0.78163200,394.10488754,2025-02-16 00:30:43.611556053,b,l,
0.78165400,380.99281950,2025-02-16 00:30:48.376986742,b,l,
0.78199100,351.63633140,2025-02-16 00:31:13.664208174,b,l,
0.78230500,344.41789015,2025-02-16 00:31:23.643850565,b,l,
0.78232700,336.80271628,2025-02-16 00:31:25.666415215,b,l,
0.78233800,327.72552613,2025-02-16 00:31:27.797367334,b,l,
0.78233900,320.60355177,2025-02-16 00:31:29.822484255,b,l,
0.78236100,311.90051682,2025-02-16 00:31:38.374186516,b,l,
0.78263800,300.87672039,2025-02-16 00:32:00.487876415,b,l,
0.78267300,51.60690932,2025-02-16 00:32:02.668709993,b,l,
0.78274500,12.08011576,2025-02-16 00:32:08.033776760,b,l,
0.78281300,52.95684359,2025-02-16 00:32:10.435005903,b,l,
0.78286800,8.17945136,2025-02-16 00:32:35.450435638,b,l,
0.78291300,54.21067636,2025-02-16 00:32:40.861668587,b,l,
